NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.493379593,4.485293388,4.469120502,4.448904037,4.443513393,4.445759296,4.453845978,4.466874123,4.484844208,4.497423172,4.494278431,4.474511147,4.453845978,4.445759296,4.451599598,4.469120502,4.495176792,4.524827003,4.54414463
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.48439455,4.480800629,4.470018864,4.4556427,4.450252056,4.451150417,4.456092358,4.464178562,4.478105068,4.485293388,4.48439455,4.474960327,4.464178562,4.465076923,4.470917225,4.48394537,4.503262997,4.526175022,4.542797089
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.46283102,4.466424942,4.471815586,4.473163605,4.469569683,4.463280201,4.46013546,4.460584641,4.463729382,4.468670845,4.470917225,4.474061966,4.477206707,4.481249809,4.488438129,4.495176792,4.501466274,4.508654118,4.519435883,4.535159588,4.550883293
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.45519352,4.456990719,4.465975761,4.473612785,4.478105068,4.479902267,4.476757526,4.474960327,4.475409985,4.477206707,4.478105068,4.481249809,4.49113369,4.504161835,4.516291618,4.526624203,4.533362865,4.537855148,4.542797089,4.551782131,4.561665535
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.468670845,4.467772484,4.469120502,4.474511147,4.48394537,4.49158287,4.495625973,4.494278431,4.492032051,4.492481232,4.495176792,4.499219894,4.505509377,4.519435883,4.535159588,4.546840191,4.555376053,4.562114716,4.566157818,4.567955017,4.57020092,4.56975174
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.409819603,4.403530121,4.398588181,4.396342278,4.383763313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.490234852,4.496075153,4.498770714,4.500118256,4.501017094,4.504161835,4.506407738,4.507306576,4.506407738,4.508654118,4.513146877,4.521682262,4.535609245,4.545492649,4.557622433,4.568853378,4.576041222,4.580533981,4.585026264,4.587272644,4.586374283,4.582779884,4.575592041
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.426441669,4.420601368,4.412065983,4.399936199,4.389153957,4.379719734,4.37208271,4.361750126,4.346026421,4.334794998,4.330302715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.48439455,4.504611015,4.51988554,4.529319763,4.532913685,4.529768944,4.522131443,4.5149436,4.510451317,4.511349678,4.519435883,4.532014847,4.549535751,4.571998119,4.589069366,4.59850359,4.602996349,4.604343891,4.603894711,4.60344553,4.60119915,4.596706867,4.590866566,4.581432343
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.440368652,NaN,NaN,4.424644947,4.425992489,4.433629513,4.433629513,4.427340031,4.416558266,4.40083456,4.384212494,4.366242409,4.350069523,4.338838577,4.324911594,4.318622112,4.31682539,4.316375732,4.317723751,4.319970131,NaN,NaN,NaN,NaN,NaN,4.370285511,NaN,NaN,4.45788908,4.484844208,4.505958557,4.527073383,4.541898727,4.549086571,4.54639101,4.532014847,4.518088341,4.509103298,4.509552479,4.523479462,4.545492649,4.571548939,4.599402428,4.624560356,4.633095741,4.63444376,4.632646561,4.625009537,4.619169235,4.614676952,4.610633373,4.60344553,4.596257687
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.40532732,NaN,NaN,NaN,4.404877663,4.416109085,4.42419529,NaN,4.43407917,4.434528351,4.427340031,4.425094128,4.430035591,4.441716194,4.444860935,4.438122272,4.425094128,4.408022404,4.384661674,4.360402107,4.336592197,4.315926552,4.305593967,4.303797245,4.303797245,4.303797245,4.297956944,4.291218281,4.28627634,4.28358078,4.290319443,NaN,NaN,4.358605385,4.384212494,4.419703007,4.444411755,4.463280201,4.481249809,4.510451317,4.531116486,4.54414463,4.550434113,4.540999889,4.527073383,4.515841961,4.51269722,4.526624203,4.555825233,4.588620186,4.621864796,4.652413368,4.659601688,4.65825367,4.651065826,4.636240482,4.628603458,4.626357079,4.625907898,4.620516777,4.616024494
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.412964344,4.402182579,4.390501976,4.381966114,4.386908054,4.396791458,4.408472061,4.418355465,4.426441669,4.430934429,4.430934429,4.42419529,4.422847748,4.430035591,4.443063736,4.450701237,4.446208477,4.433629513,4.413413525,4.383763313,4.355909824,4.329404354,4.307391167,4.295261383,4.291667461,4.291218281,4.289421082,4.281784058,4.273248196,4.267857075,4.266509533,4.271001816,4.291218281,4.316375732,4.346026421,4.377923012,4.403979301,4.417007446,4.426441669,4.439918995,4.465975761,4.496524334,4.526175022,4.549984932,4.554926872,4.549984932,4.540550709,4.533812046,4.540101528,4.570650578,4.607937813,4.644327164,4.681614876,4.682064056,4.673079014,4.656906128,4.631299019,4.625009537,4.625458717,4.62950182,4.63219738,4.63219738
