lat,lon,ttMoho,ttMohostd,dvMoho,dvMohostd,typeMoho,ttLAB,ttLABstd,ampLAB,ampLABstd,typeLAB
36.75,-118.75,9.77076,0.89186,0.0521141,0.0283654,Ps,11.829,0.0926142,0.0371393,0.0035386,Sp
37,-118.75,10.2342,0.822492,0.091151,0.0325881,Ps,11.5459,0.217342,0.0447827,0.00451143,Sp
37.25,-118.75,10.3952,0.891575,0.0864458,0.0346142,Ps,11.2312,0.187427,0.0450658,0.0052541,Sp
37.5,-118.75,10.7282,0.578029,0.0917891,0.0351533,Ps,10.8902,0.283357,0.0342061,0.00650807,Sp
37.75,-118.75,10.7593,0.575838,0.125167,0.0502983,Ps,10.8701,0.191195,0.0266667,0.00407356,Sp
38.5,-118.75,10.3446,0.516089,0.136492,0.0622659,Ps,11.2557,0.0954452,0.0241194,0.00233602,Sp
38.75,-118.75,10.4002,0.511115,0.10773,0.054579,Ps,11.4758,0.285954,0.0274829,0.0031723,Sp
39,-118.75,10.4156,0.571314,0.0908396,0.0506324,Ps,12.1171,0.539934,0.0274131,0.00141637,Sp
39.25,-118.75,10.4977,0.635627,0.0865818,0.0502013,Ps,12.2778,0.572321,0.0264763,0.00213277,Sp
39.5,-118.75,10.9131,0.571853,0.0703908,0.0483068,Ps,11.4858,0.670225,0.029795,0.00542519,Sp
39.75,-118.75,10.3168,0.629979,0.0826657,0.0519345,Ps,11.1797,0.512921,0.0365085,0.00503046,Sp
40,-118.75,9.29964,0.376471,0.112626,0.0704374,Ps,11.4552,0.448837,0.0289649,0.00469939,Sp
40.25,-118.75,9.13795,0.442802,0.119048,0.0737323,Ps,11.3186,0.416402,0.0352513,0.00812784,Sp
40.5,-118.75,9.27889,0.440798,0.13735,0.080038,Ps,10.4425,0.607675,0.0411342,0.00393651,Sp
40.75,-118.75,9.03659,0.447975,0.177316,0.0685468,Ps,9.38687,0.3506,0.0388332,0.00257789,Sp
41,-118.75,9.06504,0.502471,0.159419,0.0722306,Ps,9.77493,0.859743,0.0375529,0.00210792,Sp
41.25,-118.75,9.56684,0.62373,0.14059,0.074251,Ps,10.9556,0.477163,0.0398499,0.00328154,Sp
41.5,-118.75,9.83739,0.622119,0.133433,0.0707806,Ps,10.2781,0.255036,0.0456913,0.00418071,Sp
41.75,-118.75,10.1609,0.692544,0.145772,0.0654127,Ps,10.3912,0.256505,0.0458778,0.00390624,Sp
42,-118.75,10.4254,0.623862,0.140474,0.0527002,Ps,10.8048,0.257103,0.0377643,0.00493222,Sp
42.25,-118.75,10.2307,0.565193,0.114416,0.049557,Ps,10.8024,0.160889,0.0385742,0.00413792,Sp
42.5,-118.75,9.81506,0.569249,0.132044,0.0684326,Ps,10.5525,0.192719,0.0455213,0.00265896,Sp
42.75,-118.75,9.45969,0.387031,0.134037,0.0514362,Ps,10.2976,0.15965,0.0442828,0.00178734,Sp
43,-118.75,9.68837,0.312832,0.151056,0.0807441,Ps,9.96831,0.22297,0.0437242,0.0018591,Sp
